Source,Target,Type,Id,Label,Weight
2,1,Undirected,1,,1
3,1,Undirected,2,,8
4,1,Undirected,3,,10
4,3,Undirected,4,,6
5,1,Undirected,5,,1
6,1,Undirected,6,,1
7,1,Undirected,7,,1
8,1,Undirected,8,,1
9,1,Undirected,9,,2
10,1,Undirected,10,,1
12,1,Undirected,11,,5
12,3,Undirected,12,,3
12,4,Undirected,13,,3
12,11,Undirected,14,,1
13,12,Undirected,15,,1
14,12,Undirected,16,,1
15,12,Undirected,17,,1
16,12,Undirected,18,,1
18,17,Undirected,19,,4
19,17,Undirected,20,,4
19,18,Undirected,21,,4
20,17,Undirected,22,,4
20,18,Undirected,23,,4
20,19,Undirected,24,,4
21,17,Undirected,25,,3
21,18,Undirected,26,,3
21,19,Undirected,27,,3
21,20,Undirected,28,,4
22,17,Undirected,29,,3
22,18,Undirected,30,,3
22,19,Undirected,31,,3
22,20,Undirected,32,,3
22,21,Undirected,33,,5
23,17,Undirected,34,,3
23,18,Undirected,35,,3
23,19,Undirected,36,,3
23,20,Undirected,37,,3
23,21,Undirected,38,,4
23,22,Undirected,39,,4
24,12,Undirected,40,,9
24,13,Undirected,41,,2
24,17,Undirected,42,,3
24,18,Undirected,43,,3
24,19,Undirected,44,,3
24,20,Undirected,45,,3
24,21,Undirected,46,,4
24,22,Undirected,47,,4
24,23,Undirected,48,,4
25,12,Undirected,49,,7
25,24,Undirected,50,,2
26,12,Undirected,51,,12
26,24,Undirected,52,,1
26,25,Undirected,53,,13
27,12,Undirected,54,,31
27,17,Undirected,55,,1
27,25,Undirected,56,,4
27,26,Undirected,57,,1
28,12,Undirected,58,,17
28,24,Undirected,59,,5
28,25,Undirected,60,,1
28,26,Undirected,61,,5
28,27,Undirected,62,,1
29,12,Undirected,63,,8
29,28,Undirected,64,,1
30,12,Undirected,65,,2
30,24,Undirected,66,,1
30,28,Undirected,67,,1
31,24,Undirected,68,,1
32,12,Undirected,69,,3
32,24,Undirected,70,,2
32,28,Undirected,71,,1
32,31,Undirected,72,,2
33,12,Undirected,73,,1
34,12,Undirected,74,,2
34,28,Undirected,75,,1
35,12,Undirected,76,,3
35,30,Undirected,77,,2
36,12,Undirected,78,,3
36,30,Undirected,79,,2
36,35,Undirected,80,,3
37,12,Undirected,81,,2
37,30,Undirected,82,,1
37,35,Undirected,83,,2
37,36,Undirected,84,,2
38,12,Undirected,85,,2
38,30,Undirected,86,,1
38,35,Undirected,87,,2
38,36,Undirected,88,,2
38,37,Undirected,89,,2
39,12,Undirected,90,,2
39,30,Undirected,91,,1
