Source,Target,Type,Id,Label,Weight
1,79,Directed,4886,,0.020756
1,91,Directed,4885,,0.049667
1,382,Directed,4887,,0.015237
1,675,Directed,4884,,0.064365
2,66,Directed,6692,,0.041998
2,856,Directed,6693,,0.069599
3,264,Directed,4744,,0.054852
3,737,Directed,4745,,0.038827
4,248,Directed,768,,0.051707
4,478,Directed,766,,0.027898
4,735,Directed,767,,0.004116
5,493,Directed,2798,,0.007366
5,731,Directed,2799,,0.037126
5,746,Directed,2800,,0.001043
5,1212,Directed,2801,,0.040766
6,177,Directed,355,,0.097238
6,229,Directed,356,,0.072065
6,559,Directed,357,,0.072601
6,820,Directed,354,,0.070573
6,950,Directed,358,,0.051197
6,1274,Directed,353,,0.058211
7,12,Directed,1291,,0.078614
7,377,Directed,1290,,0.041223
7,774,Directed,1294,,0.09194
7,926,Directed,1289,,0.047746
7,1016,Directed,1292,,0.089751
7,1288,Directed,1293,,0.018563
8,656,Directed,2677,,0.040681
9,601,Directed,4849,,0.010889
9,716,Directed,4845,,0.059959
9,824,Directed,4846,,0.054211
9,957,Directed,4847,,0.079113
9,1004,Directed,4848,,0.050551
9,1189,Directed,4844,,0.057163
10,191,Directed,4666,,0.080589
10,986,Directed,4665,,0.016625
10,1196,Directed,4667,,0.091934
11,236,Directed,3455,,0.068215
11,611,Directed,3457,,0.050699
11,632,Directed,3456,,0.061027
12,169,Directed,3642,,0.093978
12,299,Directed,3644,,0.06336
12,552,Directed,3643,,0.08398
12,673,Directed,3641,,0.009564
13,294,Directed,921,,0.059863
13,390,Directed,916,,0.091161
13,462,Directed,920,,0.061385
13,516,Directed,917,,0.091004
13,1207,Directed,919,,0.071103
13,1250,Directed,918,,0.080959
14,3,Directed,6394,,0.009444
14,266,Directed,6395,,0.017847
14,662,Directed,6393,,0.013174
15,77,Directed,2074,,0.001742
15,580,Directed,2072,,0.067673
15,858,Directed,2075,,0.056835
15,1087,Directed,2073,,0.045232
15,1262,Directed,2071,,0.020089
16,86,Directed,3886,,0.082753
16,108,Directed,3882,,0.044492
16,743,Directed,3883,,0.098578
16,890,Directed,3887,,0.068679
16,902,Directed,3885,,0.0875
16,1036,Directed,3884,,0.097811
17,47,Directed,161,,0.055615
17,72,Directed,158,,0.057682
17,209,Directed,159,,0.034952
17,235,Directed,164,,0.025584
17,464,Directed,160,,0.00608
17,758,Directed,165,,0.084575
17,934,Directed,163,,0.012841
17,1263,Directed,162,,0.010268
18,126,Directed,6646,,0.044186
18,194,Directed,6641,,0.042365
18,211,Directed,6643,,0.021366
18,486,Directed,6642,,0.026748
18,813,Directed,6645,,0.038313
18,962,Directed,6644,,0.094578
18,1163,Directed,6647,,0.040576
19,35,Directed,3842,,0.094634
19,428,Directed,3843,,0.028958
19,494,Directed,3845,,0.021313
19,595,Directed,3846,,0.025412
19,914,Directed,3844,,0.092205
20,235,Directed,3902,,0.03062
20,513,Directed,3904,,0.060892
20,531,Directed,3906,,0.027488
20,1073,Directed,3905,,0.059605
20,1126,Directed,3903,,0.09862
21,197,Directed,4813,,0.038067
21,722,Directed,4812,,0.089035
22,9,Directed,968,,0.017586
22,129,Directed,969,,0.090193
22,918,Directed,966,,0.005518
22,934,Directed,967,,0.008303
23,71,Directed,5788,,0.005169
23,458,Directed,5787,,0.010068
23,905,Directed,5789,,0.063823
23,1254,Directed,5786,,0.037045
24,15,Directed,1082,,0.016713
24,467,Directed,1080,,0.058601
24,478,Directed,1078,,0.057977
24,485,Directed,1084,,0.063277
24,634,Directed,1081,,0.073686
24,680,Directed,1085,,0.077542
24,763,Directed,1086,,0.038385
24,884,Directed,1083,,0.046099
24,1116,Directed,1079,,0.026525
25,318,Directed,6285,,0.013793
25,465,Directed,6286,,0.088741
25,680,Directed,6288,,0.044793
25,770,Directed,6290,,0.059247
25,1023,Directed,6289,,0.015632
25,1064,Directed,6284,,0.002325
25,1285,Directed,6287,,0.034935
26,7,Directed,2634,,0.029611
26,415,Directed,2632,,0.077411
26,577,Directed,2639,,0.099938
26,588,Directed,2638,,0.01668
26,640,Directed,2640,,0.008301
26,842,Directed,2637,,0.016732
26,1015,Directed,2633,,0.012027
26,1032,Directed,2636,,0.047037
26,1104,Directed,2635,,0.009084
27,582,Directed,3670,,0.069325
