k;Nk;Pk;logk;logPk
147;74;0.028682171;2.167317335;-1.542387986
148;75;0.029069767;2.170261715;-1.536558443
149;74;0.028682171;2.173186268;-1.542387986
150;75;0.029069767;2.176091259;-1.536558443
151;78;0.030232558;2.178976947;-1.519525103
152;80;0.031007752;2.181843588;-1.508529719
153;81;0.031395349;2.184691431;-1.503134687
154;76;0.029457364;2.187520721;-1.530806114
155;74;0.028682171;2.190331698;-1.542387986
156;78;0.030232558;2.193124598;-1.519525103
157;79;0.030620155;2.195899652;-1.513992615
158;78;0.030232558;2.198657087;-1.519525103
159;75;0.029069767;2.201397124;-1.536558443
160;72;0.027906977;2.204119983;-1.55428721
161;73;0.028294574;2.206825876;-1.548296846
162;75;0.029069767;2.209515015;-1.536558443
163;73;0.028294574;2.212187604;-1.548296846
164;10;0.003875969;2.214843848;-2.411619706
165;10;0.003875969;2.217483944;-2.411619706
166;10;0.003875969;2.220108088;-2.411619706
167;10;0.003875969;2.222716471;-2.411619706
168;10;0.003875969;2.225309282;-2.411619706
169;10;0.003875969;2.227886705;-2.411619706
170;10;0.003875969;2.230448921;-2.411619706
171;10;0.003875969;2.23299611;-2.411619706
172;10;0.003875969;2.235528447;-2.411619706
173;10;0.003875969;2.238046103;-2.411619706
174;10;0.003875969;2.240549248;-2.411619706
175;10;0.003875969;2.243038049;-2.411619706
176;10;0.003875969;2.245512668;-2.411619706
177;10;0.003875969;2.247973266;-2.411619706
178;10;0.003875969;2.250420002;-2.411619706
179;10;0.003875969;2.252853031;-2.411619706
180;10;0.003875969;2.255272505;-2.411619706
181;10;0.003875969;2.257678575;-2.411619706
182;10;0.003875969;2.260071388;-2.411619706
183;10;0.003875969;2.26245109;-2.411619706
184;10;0.003875969;2.264817823;-2.411619706
185;10;0.003875969;2.267171728;-2.411619706
186;10;0.003875969;2.269512944;-2.411619706
187;10;0.003875969;2.271841607;-2.411619706
188;10;0.003875969;2.274157849;-2.411619706
189;10;0.003875969;2.276461804;-2.411619706
190;10;0.003875969;2.278753601;-2.411619706
191;10;0.003875969;2.281033367;-2.411619706
192;10;0.003875969;2.283301229;-2.411619706
193;10;0.003875969;2.285557309;-2.411619706
194;10;0.003875969;2.28780173;-2.411619706
195;10;0.003875969;2.290034611;-2.411619706
196;10;0.003875969;2.292256071;-2.411619706
197;10;0.003875969;2.294466226;-2.411619706
198;10;0.003875969;2.29666519;-2.411619706
199;10;0.003875969;2.298853076;-2.411619706
200;10;0.003875969;2.301029996;-2.411619706
201;10;0.003875969;2.303196057;-2.411619706
202;10;0.003875969;2.305351369;-2.411619706
203;10;0.003875969;2.307496038;-2.411619706
204;10;0.003875969;2.309630167;-2.411619706
205;10;0.003875969;2.311753861;-2.411619706
206;10;0.003875969;2.31386722;-2.411619706
207;10;0.003875969;2.315970345;-2.411619706
208;10;0.003875969;2.318063335;-2.411619706
209;10;0.003875969;2.320146286;-2.411619706
210;10;0.003875969;2.322219295;-2.411619706
211;10;0.003875969;2.324282455;-2.411619706
212;10;0.003875969;2.326335861;-2.411619706
213;10;0.003875969;2.328379603;-2.411619706
214;10;0.003875969;2.330413773;-2.411619706
215;10;0.003875969;2.33243846;-2.411619706
216;10;0.003875969;2.334453751;-2.411619706
217;10;0.003875969;2.336459734;-2.411619706
218;10;0.003875969;2.338456494;-2.411619706
219;10;0.003875969;2.340444115;-2.411619706
220;10;0.003875969;2.342422681;-2.411619706
221;10;0.003875969;2.344392274;-2.411619706
222;10;0.003875969;2.346352974;-2.411619706
223;10;0.003875969;2.348304863;-2.411619706
224;10;0.003875969;2.350248018;-2.411619706
225;10;0.003875969;2.352182518;-2.411619706
226;10;0.003875969;2.354108439;-2.411619706
227;10;0.003875969;2.356025857;-2.411619706
228;10;0.003875969;2.357934847;-2.411619706
229;10;0.003875969;2.359835482;-2.411619706
230;10;0.003875969;2.361727836;-2.411619706
231;10;0.003875969;2.36361198;-2.411619706
232;10;0.003875969;2.365487985;-2.411619706
233;10;0.003875969;2.367355921;-2.411619706
234;10;0.003875969;2.369215857;-2.411619706
235;10;0.003875969;2.371067862;-2.411619706
236;10;0.003875969;2.372912003;-2.411619706
237;10;0.003875969;2.374748346;-2.411619706
238;10;0.003875969;2.376576957;-2.411619706
239;10;0.003875969;2.378397901;-2.411619706
240;10;0.003875969;2.380211242;-2.411619706
241;10;0.003875969;2.382017043;-2.411619706
242;10;0.003875969;2.383815366;-2.411619706
243;10;0.003875969;2.385606274;-2.411619706
244;10;0.003875969;2.387389826;-2.411619706
245;10;0.003875969;2.389166084;-2.411619706
246;10;0.003875969;2.390935107;-2.411619706
247;10;0.003875969;2.392696953;-2.411619706
248;10;0.003875969;2.394451681;-2.411619706
249;10;0.003875969;2.396199347;-2.411619706
250;10;0.003875969;2.397940009;-2.411619706
251;10;0.003875969;2.399673721;-2.411619706
252;10;0.003875969;2.401400541;-2.411619706
253;10;0.003875969;2.403120521;-2.411619706
254;10;0.003875969;2.404833717;-2.411619706
255;10;0.003875969;2.40654018;-2.411619706
256;10;0.003875969;2.408239965;-2.411619706
257;10;0.003875969;2.409933123;-2.411619706
258;10;0.003875969;2.411619706;-2.411619706
259;10;0.003875969;2.413299764;-2.411619706
260;10;0.003875969;2.414973348;-2.411619706
261;10;0.003875969;2.416640507;-2.411619706
262;10;0.003875969;2.418301291;-2.411619706
263;10;0.003875969;2.419955748;-2.411619706
264;10;0.003875969;2.421603927;-2.411619706
265;10;0.003875969;2.423245874;-2.411619706
266;10;0.003875969;2.424881637;-2.411619706
267;10;0.003875969;2.426511261;-2.411619706
268;10;0.003875969;2.428134794;-2.411619706
269;10;0.003875969;2.42975228;-2.411619706
270;10;0.003875969;2.431363764;-2.411619706
271;10;0.003875969;2.432969291;-2.411619706
272;10;0.003875969;2.434568904;-2.411619706
273;10;0.003875969;2.436162647;-2.411619706
274;10;0.003875969;2.437750563;-2.411619706
275;10;0.003875969;2.439332694;-2.411619706
276;10;0.003875969;2.440909082;-2.411619706
277;10;0.003875969;2.442479769;-2.411619706
278;10;0.003875969;2.444044796;-2.411619706
279;10;0.003875969;2.445604203;-2.411619706
280;10;0.003875969;2.447158031;-2.411619706
281;10;0.003875969;2.44870632;-2.411619706
282;10;0.003875969;2.450249108;-2.411619706
283;10;0.003875969;2.451786436;-2.411619706
284;10;0.003875969;2.45331834;-2.411619706
285;10;0.003875969;2.45484486;-2.411619706
286;10;0.003875969;2.456366033;-2.411619706
287;10;0.003875969;2.457881897;-2.411619706
