k;Nk;Pk;Logk;LokPk;;;
1;191;0,012692717;0;-1,896445415;;2173;40
2;286;0,019005848;0,301029996;-1,721112749;;2237;48
3;324;0,0215311;0,477121255;-1,666933772;;1474;37
4;348;0,023125997;0,602059991;-1,635899539;;1544;34
5;395;0,026249335;0,698970004;-1,580881687;;1708;18
6;300;0,019936204;0,77815125;-1,700357528;;1714;19
7;343;0,022793727;0,84509804;-1,642184662;;1898;9
8;368;0,024455077;0,903089987;-1,611630964;;1931;16
9;468;0,031100478;0,954242509;-1,507232929;;1505;5
10;450;0,029904306;1;-1,524266269;;1567;5
11;396;0,026315789;1,041392685;-1,579783597;;1569;9
12;276;0,018341308;1,079181246;-1,7365697;;1661;3
13;325;0,021597554;1,113943352;-1,665595422;;1680;22
14;266;0,017676768;1,146128036;-1,752597146;;1729;2
15;375;0,024920255;1,176091259;-1,603447515;;1765;1
16;208;0,013822435;1,204119983;-1,859415448;;1770;8
17;204;0,013556619;1,230448921;-1,867848615;;1884;4
18;378;0,025119617;1,255272505;-1,599986983;;1945;5
19;323;0,021464646;1,278753601;-1,66827626;;2136;5
20;400;0,026581606;1,301029996;-1,575418791;;2160;11
21;210;0,013955343;1,322219295;-1,855259488;;2161;2
22;286;0,019005848;1,342422681;-1,721112749;;2162;19
23;368;0,024455077;1,361727836;-1,611630964;;2163;4
24;360;0,023923445;1,380211242;-1,621176282;;2171;5
25;275;0,018274854;1,397940009;-1,738146089;;2211;60
26;156;0,010366826;1,414973348;-1,984354184;;2328;12
27;189;0,012559809;1,431363764;-1,901016978;;2410;19
28;224;0,014885699;1,447158031;-1,827230764;;2546;11
29;319;0,02119883;1,462397998;-1,673688099;;2635;18
30;210;0,013955343;1,477121255;-1,855259488;;1424;8
31;186;0,012360447;1,491361694;-1,907965838;;1542;18
32;256;0,017012228;1,505149978;-1,769238817;;1676;9
33;198;0,013157895;1,51851394;-1,880813592;;1683;12
34;272;0,018075492;1,531478917;-1,742909879;;1690;15
35;175;0,011629452;1,544068044;-1,934440734;;1694;23
36;216;0,014354067;1,556302501;-1,843025031;;1698;87
37;185;0,012293993;1,568201724;-1,910307054;;1714;19
38;228;0,015151515;1,579783597;-1,819543936;;1724;26
39;195;0,012958533;1,591064607;-1,887444171;;1828;37
40;80;0,005316321;1,602059991;-2,274388796;;1854;17
41;41;0,002724615;1,612783857;-2,564694926;;1871;33
42;168;0,011164274;1,62324929;-1,952169501;;1891;8
43;129;0,008572568;1,633468456;-2,066889072;;1912;35
44;176;0,011695906;1,643452676;-1,931966115;;2098;17
45;180;0,011961722;1,653212514;-1,922206277;;2168;43
46;230;0,015284423;1,662757832;-1,815750947;;2306;33
47;188;0,012493355;1,672097858;-1,903320933;;2321;10
48;96;0,006379585;1,681241237;-2,19520755;;2628;21
49;49;0,003256247;1,69019608;-2,487282703;;1423;18
50;50;0,003322701;1,698970004;-2,478508778;;1624;9
53;53;0,003522063;1,72427587;-2,453202913;;2236;37
54;54;0,003588517;1,73239376;-2,445085023;;1401;44
55;55;0,003654971;1,740362689;-2,437116093;;1522;14
56;56;0,003721425;1,748188027;-2,429290756;;1641;32
57;57;0,003787879;1,755874856;-2,421603927;;2147;38
58;116;0,007708666;1,763427994;-2,113020793;;2168;43
59;59;0,003920787;1,770852012;-2,406626771;;2222;10
60;60;0,003987241;1,77815125;-2,399327532;;2538;117
62;62;0,004120149;1,792391689;-2,385087093;;2539;43
63;126;0,008373206;1,799340549;-2,077108237;;2542;47
64;64;0,004253057;1,806179974;-2,371298809;;1448;23
65;65;0,004319511;1,812913357;-2,364565426;;2257;25
