Source,Target,Type,Id,Label,Weight
1363,2173,Directed,7780,,1
1363,2237,Directed,7779,,1
1364,1474,Directed,7781,,1
1366,1544,Directed,7786,,1
1366,1708,Directed,7783,,1
1366,1714,Directed,7784,,1
1366,1898,Directed,7785,,1
1366,1931,Directed,7782,,1
1368,1505,Directed,7797,,1
1368,1567,Directed,7801,,1
1368,1569,Directed,7807,,1
1368,1661,Directed,7805,,1
1368,1680,Directed,7799,,1
1368,1729,Directed,7798,,1
1368,1765,Directed,7803,,1
1368,1770,Directed,7789,,1
1368,1884,Directed,7794,,1
1368,1945,Directed,7787,,1
1368,2136,Directed,7804,,1
1368,2160,Directed,7793,,1
1368,2161,Directed,7788,,1
1368,2162,Directed,7791,,1
1368,2163,Directed,7790,,1
1368,2171,Directed,7792,,1
1368,2211,Directed,7802,,1
1368,2328,Directed,7800,,1
1368,2410,Directed,7796,,1
1368,2546,Directed,7806,,1
1368,2635,Directed,7795,,1
1370,1424,Directed,7813,,1
1370,1542,Directed,7812,,1
1370,1676,Directed,7819,,1
1370,1683,Directed,7821,,1
1370,1690,Directed,7824,,1
1370,1694,Directed,7817,,1
1370,1698,Directed,7825,,1
1370,1714,Directed,7811,,1
1370,1724,Directed,7816,,1
1370,1828,Directed,7823,,1
1370,1854,Directed,7826,,1
1370,1871,Directed,7820,,1
1370,1891,Directed,7808,,1
1370,1912,Directed,7810,,1
1370,2098,Directed,7809,,1
1370,2168,Directed,7815,,1
1370,2306,Directed,7818,,1
1370,2321,Directed,7814,,1
1370,2628,Directed,7822,,1
1374,1423,Directed,7828,,1
1374,1624,Directed,7827,,1
1374,2236,Directed,7829,,1
1375,1401,Directed,7830,,1
1375,1522,Directed,7838,,1
1375,1641,Directed,7832,,1
1375,2147,Directed,7831,,1
1375,2168,Directed,7835,,1
1375,2222,Directed,7833,,1
1375,2538,Directed,7834,,1
1375,2539,Directed,7837,,1
1375,2542,Directed,7836,,1
1376,1448,Directed,7840,,1
1376,2257,Directed,7839,,1
1377,1378,Directed,7841,,1
1378,1377,Directed,7842,,1
1380,1474,Directed,7843,,1
1380,1698,Directed,7844,,1
1381,1698,Directed,7846,,1
1381,1736,Directed,7845,,1
1381,2189,Directed,7848,,1
1381,2372,Directed,7847,,1
1383,1784,Directed,7850,,1
1383,1815,Directed,7852,,1
1383,2166,Directed,7851,,1
1383,2458,Directed,7849,,1
1384,2528,Directed,7853,,1
1385,1824,Directed,7854,,1
1387,1404,Directed,7857,,1
1387,1530,Directed,7856,,1
1387,2187,Directed,7858,,1
1387,2507,Directed,7859,,1
1387,2551,Directed,7860,,1
1387,2565,Directed,7855,,1
1388,2407,Directed,7861,,1
1389,1615,Directed,7862,,1
1392,1654,Directed,7864,,1
1392,1660,Directed,7863,,1
1392,1871,Directed,7865,,1
1394,1401,Directed,7872,,1
1394,1468,Directed,7866,,1
1394,1512,Directed,7877,,1
1394,1773,Directed,7873,,1
1394,1796,Directed,7876,,1
1394,1849,Directed,7878,,1
1394,2040,Directed,7868,,1
1394,2277,Directed,7869,,1
1394,2305,Directed,7880,,1
1394,2313,Directed,7879,,1
1394,2326,Directed,7881,,1
1394,2353,Directed,7874,,1
1394,2522,Directed,7867,,1
1394,2538,Directed,7870,,1
1394,2539,Directed,7875,,1
1394,2542,Directed,7871,,1
1395,2581,Directed,7882,,1
1396,1474,Directed,7883,,1
1396,1714,Directed,7885,,1
1396,1931,Directed,7884,,1
1396,2628,Directed,7886,,1
1397,1901,Directed,7887,,1
1397,1906,Directed,7888,,1
1397,1908,Directed,7889,,1
1397,1911,Directed,7890,,1
1397,2538,Directed,7893,,1
1397,2539,Directed,7891,,1
1397,2542,Directed,7892,,1
1399,1530,Directed,7894,,1
1399,2633,Directed,7895,,1
1400,2044,Directed,7897,,1
1400,2572,Directed,7896,,1
1401,1375,Directed,7914,,1
1401,1608,Directed,7916,,1
1401,1711,Directed,7917,,1
1401,1726,Directed,7910,,1
1401,1901,Directed,7913,,1
1401,1908,Directed,7912,,1
1401,1911,Directed,7909,,1
1401,1972,Directed,7915,,1
1401,1992,Directed,7907,,1
1401,2019,Directed,7900,,1
1401,2053,Directed,7908,,1
1401,2054,Directed,7918,,1
1401,2147,Directed,7902,,1
1401,2212,Directed,7906,,1
1401,2222,Directed,7911,,1
1401,2277,Directed,7898,,1
1401,2353,Directed,7899,,1
1401,2522,Directed,7905,,1
1401,2538,Directed,7901,,1
1401,2539,Directed,7904,,1
1401,2542,Directed,7903,,1
1402,1401,Directed,7933,,1
1402,1403,Directed,7920,,1
1402,1468,Directed,7931,,1
1402,1512,Directed,7924,,1
1402,1515,Directed,7929,,1
1402,1608,Directed,7919,,1
1402,1720,Directed,7922,,1
1402,1724,Directed,7923,,1
1402,1824,Directed,7939,,1
1402,1873,Directed,7940,,1
1402,1908,Directed,7937,,1
1402,1972,Directed,7925,,1
1402,1985,Directed,7946,,1
1402,1989,Directed,7926,,1
1402,1990,Directed,7941,,1
1402,2035,Directed,7930,,1
1402,2037,Directed,7945,,1
1402,2083,Directed,7934,,1
1402,2147,Directed,7938,,1
1402,2211,Directed,7944,,1
1402,2222,Directed,7950,,1
1402,2305,Directed,7936,,1
1402,2517,Directed,7935,,1
1402,2522,Directed,7947,,1
1402,2528,Directed,7942,,1
1402,2529,Directed,7932,,1
1402,2538,Directed,7928,,1
1402,2539,Directed,7943,,1
1402,2578,Directed,7949,,1
1402,2602,Directed,7921,,1
1402,2607,Directed,7948,,1
1402,2616,Directed,7927,,1
1405,1495,Directed,7961,,1
1405,1549,Directed,7951,,1
1405,1622,Directed,7958,,1
1405,1790,Directed,7959,,1
1405,1817,Directed,7955,,1
1405,1918,Directed,7960,,1
1405,1944,Directed,7956,,1
1405,2122,Directed,7953,,1
1405,2320,Directed,7952,,1
1405,2424,Directed,7957,,1
1405,2508,Directed,7954,,1
1406,2587,Directed,7962,,1
1407,1691,Directed,7964,,1
1407,2527,Directed,7963,,1
1409,1432,Directed,7966,,1
1409,1466,Directed,7968,,1
1409,1467,Directed,7967,,1
1409,1489,Directed,7969,,1
1409,1821,Directed,7965,,1
1409,2320,Directed,7970,,1
1409,2424,Directed,7971,,1
1409,2588,Directed,7972,,1
1410,1844,Directed,7982,,1
1410,1850,Directed,7981,,1
1410,2039,Directed,7977,,1
1410,2044,Directed,7976,,1
1410,2211,Directed,7973,,1
1410,2300,Directed,7975,,1
1410,2517,Directed,7980,,1
1410,2538,Directed,7979,,1
1410,2578,Directed,7974,,1
1410,2616,Directed,7978,,1
1411,1608,Directed,8005,,1
1411,1641,Directed,7999,,1
1411,1824,Directed,8003,,1
1411,1985,Directed,7994,,1
1411,1989,Directed,7998,,1
1411,2035,Directed,7993,,1
1411,2037,Directed,7984,,1
1411,2048,Directed,8002,,1
1411,2049,Directed,8001,,1
1411,2080,Directed,7990,,1
1411,2090,Directed,8000,,1
1411,2293,Directed,7991,,1
1411,2352,Directed,8004,,1
1411,2517,Directed,7989,,1
1411,2528,Directed,7995,,1
1411,2529,Directed,7988,,1
1411,2594,Directed,7987,,1
1411,2602,Directed,7983,,1
1411,2605,Directed,7996,,1
1411,2606,Directed,7992,,1
1411,2607,Directed,7997,,1
1411,2613,Directed,7985,,1
1411,2616,Directed,7986,,1
1412,1650,Directed,8007,,1
1412,1719,Directed,8006,,1
1413,1434,Directed,8009,,1
1413,1436,Directed,8011,,1
1413,1442,Directed,8012,,1
1413,1478,Directed,8010,,1
1413,1480,Directed,8008,,1
1414,2336,Directed,8013,,1
1415,1434,Directed,8016,,1
1415,1436,Directed,8019,,1
1415,1440,Directed,8017,,1
1415,1478,Directed,8014,,1
1415,1480,Directed,8015,,1
1415,2517,Directed,8018,,1
1418,1898,Directed,8021,,1
1418,2104,Directed,8020,,1
1419,1817,Directed,8023,,1
1419,1964,Directed,8024,,1
1419,2320,Directed,8022,,1
1420,1471,Directed,8031,,1
1420,1531,Directed,8032,,1
1420,1777,Directed,8025,,1
1420,1786,Directed,8037,,1
1420,1797,Directed,8035,,1
1420,1817,Directed,8038,,1
1420,1833,Directed,8028,,1
1420,1836,Directed,8029,,1
1420,1841,Directed,8040,,1
1420,1962,Directed,8027,,1
1420,2116,Directed,8034,,1
1420,2119,Directed,8033,,1
1420,2145,Directed,8041,,1
1420,2320,Directed,8039,,1
1420,2424,Directed,8036,,1
1420,2466,Directed,8030,,1
1420,2493,Directed,8026,,1
1421,1680,Directed,8048,,1
1421,2076,Directed,8046,,1
1421,2182,Directed,8042,,1
1421,2428,Directed,8045,,1
1421,2435,Directed,8043,,1
1421,2454,Directed,8047,,1
1421,2456,Directed,8044,,1
1422,1420,Directed,8049,,1
1423,1598,Directed,8051,,1
1423,1624,Directed,8060,,1
1423,1644,Directed,8059,,1
1423,1749,Directed,8052,,1
1423,1841,Directed,8057,,1
1423,2006,Directed,8061,,1
1423,2229,Directed,8058,,1
1423,2292,Directed,8055,,1
1423,2319,Directed,8056,,1
1423,2419,Directed,8053,,1
1423,2571,Directed,8050,,1
1423,2646,Directed,8054,,1
1424,1698,Directed,8063,,1
1424,1988,Directed,8064,,1
1424,2168,Directed,8062,,1
1425,2023,Directed,8066,,1
1425,2555,Directed,8065,,1
1426,1598,Directed,8067,,1
1427,1598,Directed,8068,,1
1427,1703,Directed,8073,,1
1427,2006,Directed,8074,,1
1427,2028,Directed,8070,,1
1427,2034,Directed,8069,,1
1427,2337,Directed,8071,,1
1427,2503,Directed,8072,,1
1428,1598,Directed,8075,,1
1428,2237,Directed,8076,,1
1429,2003,Directed,8077,,1
1430,2005,Directed,8078,,1
1431,2374,Directed,8079,,1
1432,1409,Directed,8080,,1
1432,1466,Directed,8082,,1
1432,1467,Directed,8081,,1
1432,1489,Directed,8083,,1
1432,1820,Directed,8087,,1
1432,1821,Directed,8084,,1
1432,1962,Directed,8086,,1
1432,2494,Directed,8085,,1
1432,2591,Directed,8088,,1
1434,1413,Directed,8093,,1
