k;Nk;Pk;logk;logPk
1;10;0.019646365;0;-1.706717782
10;1;0.001964637;1;-2.706717782
11;1;0.001964637;1.041392685;-2.706717782
12;36;0.070726916;1.079181246;-1.150415282
13;2;0.003929273;1.113943352;-2.405687787
14;1;0.001964637;1.146128036;-2.706717782
15;1;0.001964637;1.176091259;-2.706717782
16;1;0.001964637;1.204119983;-2.706717782
17;9;0.017681729;1.230448921;-1.752475273
18;7;0.013752456;1.255272505;-1.861619742
19;7;0.013752456;1.278753601;-1.861619742
2;1;0.001964637;0.301029996;-2.706717782
20;7;0.013752456;1.301029996;-1.861619742
21;7;0.013752456;1.322219295;-1.861619742
22;7;0.013752456;1.342422681;-1.861619742
23;7;0.013752456;1.361727836;-1.861619742
24;15;0.029469548;1.380211242;-1.530626523
25;11;0.021611002;1.397940009;-1.665325097
26;16;0.031434185;1.414973348;-1.5025978
27;11;0.021611002;1.431363764;-1.665325097
28;17;0.033398821;1.447158031;-1.476268861
29;4;0.007858546;1.462397998;-2.104657791
3;3;0.00589391;0.477121255;-2.229596528
30;8;0.015717092;1.477121255;-1.803627795
31;2;0.003929273;1.491361694;-2.405687787
32;4;0.007858546;1.505149978;-2.104657791
33;1;0.001964637;1.51851394;-2.706717782
34;2;0.003929273;1.531478917;-2.405687787
35;6;0.011787819;1.544068044;-1.928566532
36;6;0.011787819;1.556302501;-1.928566532
37;6;0.011787819;1.568201724;-1.928566532
38;6;0.011787819;1.579783597;-1.928566532
39;6;0.011787819;1.591064607;-1.928566532
4;3;0.00589391;0.602059991;-2.229596528
40;3;0.00589391;1.602059991;-2.229596528
41;1;0.001964637;1.612783857;-2.706717782
42;11;0.021611002;1.62324929;-1.665325097
43;3;0.00589391;1.633468456;-2.229596528
44;3;0.00589391;1.643452676;-2.229596528
45;2;0.003929273;1.653212514;-2.405687787
46;1;0.001964637;1.662757832;-2.706717782
47;1;0.001964637;1.672097858;-2.706717782
48;2;0.003929273;1.681241237;-2.405687787
49;22;0.043222004;1.69019608;-1.364295102
5;1;0.001964637;0.698970004;-2.706717782
50;7;0.013752456;1.698970004;-1.861619742
51;2;0.003929273;1.707570176;-2.405687787
52;7;0.013752456;1.716003344;-1.861619742
53;2;0.003929273;1.72427587;-2.405687787
54;1;0.001964637;1.73239376;-2.706717782
55;4;0.007858546;1.740362689;-2.104657791
56;19;0.037328094;1.748188027;-1.427964181
57;2;0.003929273;1.755874856;-2.405687787
58;11;0.021611002;1.763427994;-1.665325097
59;15;0.029469548;1.770852012;-1.530626523
6;1;0.001964637;0.77815125;-2.706717782
60;11;0.021611002;1.77815125;-1.665325097
61;9;0.017681729;1.785329835;-1.752475273
62;11;0.021611002;1.792391689;-1.665325097
63;13;0.025540275;1.799340549;-1.59277443
64;12;0.023575639;1.806179974;-1.627536536
65;13;0.025540275;1.812913357;-1.59277443
66;12;0.023575639;1.819543936;-1.627536536
67;10;0.019646365;1.826074803;-1.706717782
68;1;0.001964637;1.832508913;-2.706717782
69;10;0.019646365;1.838849091;-1.706717782
7;1;0.001964637;0.84509804;-2.706717782
70;10;0.019646365;1.84509804;-1.706717782
71;10;0.019646365;1.851258349;-1.706717782
72;9;0.017681729;1.857332496;-1.752475273
73;3;0.00589391;1.86332286;-2.229596528
74;2;0.003929273;1.86923172;-2.405687787
75;2;0.003929273;1.875061263;-2.405687787
76;7;0.013752456;1.880813592;-1.861619742
77;7;0.013752456;1.886490725;-1.861619742
8;1;0.001964637;0.903089987;-2.706717782
9;1;0.001964637;0.954242509;-2.706717782
