k;Nk;Pk;logk;logPk;empty;target_source;count
2;6;0,000447227;0,301029996;-3;;1;9
3;33;0,00245975;0,477121255;-3;;1;9
4;72;0,005366726;0,602059991;-2;;1;9
5;275;0,020497913;0,698970004;-2;;1;9
6;402;0,029964222;0,77815125;-2;;2;3
7;798;0,059481216;0,84509804;-1;;2;3
8;920;0,068574836;0,903089987;-1;;3;9
9;1341;0,099955277;0,954242509;-1;;3;9
10;1750;0,130441264;1;-1;;4;12
11;1628;0,121347645;1,041392685;-1;;4;12
12;1608;0,119856887;1,079181246;-1;;4;12
13;1313;0,097868217;1,113943352;-1;;5;6
14;1162;0,086612999;1,146128036;-1;;5;6
15;630;0,046958855;1,176091259;-1;;5;6
16;592;0,044126416;1,204119983;-1;;5;6
17;340;0,025342874;1,230448921;-2;;6;15
18;198;0,014758497;1,255272505;-2;;6;15
19;76;0,005664878;1,278753601;-2;;6;15
20;160;0,011926058;1,301029996;-2;;6;15
21;63;0,004695886;1,322219295;-2;;6;15
24;24;0,001788909;1,380211242;-3;;6;15
25;25;0,001863447;1,397940009;-3;;7;14
;0;0;#­NUM!;#­NUM!;;7;14
;0;0;#­NUM!;#­NUM!;;7;14
;0;0;#­NUM!;#­NUM!;;7;14
;0;0;#­NUM!;#­NUM!;;7;14
;0;0;#­NUM!;#­NUM!;;7;14
;0;0;#­NUM!;#­NUM!;;8;4
;0;0;#­NUM!;#­NUM!;;9;12
;0;0;#­NUM!;#­NUM!;;9;12
;0;0;#­NUM!;#­NUM!;;9;12
;0;0;#­NUM!;#­NUM!;;9;12
;0;0;#­NUM!;#­NUM!;;9;12
;0;0;#­NUM!;#­NUM!;;9;12
;0;0;#­NUM!;#­NUM!;;10;7
;0;0;#­NUM!;#­NUM!;;10;7
;0;0;#­NUM!;#­NUM!;;10;7
;0;0;#­NUM!;#­NUM!;;11;12
;0;0;#­NUM!;#­NUM!;;11;12
;0;0;#­NUM!;#­NUM!;;11;12
;0;0;#­NUM!;#­NUM!;;12;12
;0;0;#­NUM!;#­NUM!;;12;12
;0;0;#­NUM!;#­NUM!;;12;12
;0;0;#­NUM!;#­NUM!;;12;12
;0;0;#­NUM!;#­NUM!;;13;11
;0;0;#­NUM!;#­NUM!;;13;11
;0;0;#­NUM!;#­NUM!;;13;11
;0;0;#­NUM!;#­NUM!;;13;11
;0;0;#­NUM!;#­NUM!;;13;11
;0;0;#­NUM!;#­NUM!;;13;11
;0;0;#­NUM!;#­NUM!;;14;10
;0;0;#­NUM!;#­NUM!;;14;10
;0;0;#­NUM!;#­NUM!;;14;10
;0;0;#­NUM!;#­NUM!;;15;9
;0;0;#­NUM!;#­NUM!;;15;9
;0;0;#­NUM!;#­NUM!;;15;9
;0;0;#­NUM!;#­NUM!;;15;9
;0;0;#­NUM!;#­NUM!;;15;9
;0;0;#­NUM!;#­NUM!;;16;8
;0;0;#­NUM!;#­NUM!;;16;8
;0;0;#­NUM!;#­NUM!;;16;8
;0;0;#­NUM!;#­NUM!;;16;8
;0;0;#­NUM!;#­NUM!;;16;8
;0;0;#­NUM!;#­NUM!;;16;8
;0;0;#­NUM!;#­NUM!;;17;14
;0;0;#­NUM!;#­NUM!;;17;14
;0;0;#­NUM!;#­NUM!;;17;14
;0;0;#­NUM!;#­NUM!;;17;14
;0;0;#­NUM!;#­NUM!;;17;14
;0;0;#­NUM!;#­NUM!;;17;14
;0;0;#­NUM!;#­NUM!;;17;14
;0;0;#­NUM!;#­NUM!;;17;14
;0;0;#­NUM!;#­NUM!;;18;13
;0;0;#­NUM!;#­NUM!;;18;13
;0;0;#­NUM!;#­NUM!;;18;13
;;;;;;18;13
;;;;;;18;13
;;;;;;18;13
;;;;;;18;13
;;;;;;19;10
;;;;;;19;10
;;;;;;19;10
;;;;;;19;10
;;;;;;19;10
;;;;;;20;14
;;;;;;20;14
;;;;;;20;14
;;;;;;20;14
;;;;;;20;14
;;;;;;21;5
;;;;;;21;5
;;;;;;22;8
;;;;;;22;8
;;;;;;22;8
;;;;;;22;8
;;;;;;23;7
;;;;;;23;7
;;;;;;23;7
;;;;;;23;7
;;;;;;24;11
;;;;;;24;11
;;;;;;24;11
;;;;;;24;11
;;;;;;24;11
;;;;;;24;11
;;;;;;24;11
;;;;;;24;11
;;;;;;24;11
;;;;;;25;9
;;;;;;25;9
;;;;;;25;9
;;;;;;25;9
;;;;;;25;9
;;;;;;25;9
;;;;;;25;9
;;;;;;26;12
;;;;;;26;12
;;;;;;26;12
;;;;;;26;12
;;;;;;26;12
;;;;;;26;12
;;;;;;26;12
;;;;;;26;12
;;;;;;26;12
;;;;;;27;13
;;;;;;27;13
;;;;;;27;13
;;;;;;27;13
;;;;;;27;13
;;;;;;28;15
;;;;;;28;15
;;;;;;28;15
;;;;;;28;15
;;;;;;28;15
;;;;;;28;15
;;;;;;28;15
;;;;;;29;7
;;;;;;29;7
;;;;;;29;7
;;;;;;30;16
;;;;;;30;16
;;;;;;30;16
;;;;;;30;16
;;;;;;30;16
;;;;;;30;16
;;;;;;30;16
;;;;;;30;16
;;;;;;30;16
;;;;;;31;11
;;;;;;31;11
;;;;;;31;11
;;;;;;31;11
;;;;;;31;11
;;;;;;31;11
;;;;;;31;11
;;;;;;31;11
;;;;;;32;5
;;;;;;32;5
;;;;;;32;5
;;;;;;32;5
;;;;;;33;10
;;;;;;33;10
;;;;;;33;10
;;;;;;33;10
;;;;;;33;10
;;;;;;34;14
;;;;;;34;14
;;;;;;34;14
;;;;;;34;14
;;;;;;34;14
;;;;;;34;14
;;;;;;34;14
;;;;;;34;14
;;;;;;34;14
;;;;;;34;14
;;;;;;35;10
;;;;;;35;10
;;;;;;35;10
;;;;;;35;10
;;;;;;35;10
;;;;;;35;10
;;;;;;36;11
;;;;;;36;11
;;;;;;36;11
;;;;;;36;11
;;;;;;36;11
;;;;;;36;11
;;;;;;37;12
;;;;;;37;12
;;;;;;37;12
;;;;;;37;12
;;;;;;37;12
;;;;;;38;7
;;;;;;38;7
;;;;;;38;7
;;;;;;39;11
;;;;;;39;11
;;;;;;39;11
;;;;;;39;11
;;;;;;40;6
;;;;;;40;6
;;;;;;40;6
;;;;;;41;11
;;;;;;41;11
;;;;;;41;11
;;;;;;41;11
;;;;;;42;5
;;;;;;43;9
;;;;;;43;9
;;;;;;43;9
;;;;;;43;9
;;;;;;43;9
;;;;;;44;7
;;;;;;44;7
;;;;;;44;7
;;;;;;44;7
;;;;;;45;12
;;;;;;45;12
;;;;;;45;12
;;;;;;45;12
;;;;;;46;19
;;;;;;46;19
;;;;;;46;19
;;;;;;46;19
;;;;;;46;19
;;;;;;46;19
;;;;;;46;19
;;;;;;46;19
;;;;;;46;19
;;;;;;47;8
;;;;;;47;8
;;;;;;47;8
;;;;;;47;8
;;;;;;48;9
;;;;;;49;6
;;;;;;49;6
;;;;;;49;6
;;;;;;50;10
;;;;;;50;10
;;;;;;50;10
;;;;;;50;10
;;;;;;50;10
;;;;;;51;7
;;;;;;51;7
;;;;;;51;7
;;;;;;52;16
;;;;;;52;16
;;;;;;52;16
;;;;;;52;16
;;;;;;52;16
;;;;;;52;16
;;;;;;53;14
;;;;;;53;14
;;;;;;53;14
;;;;;;53;14
;;;;;;53;14
;;;;;;53;14
;;;;;;53;14
;;;;;;53;14
;;;;;;53;14
;;;;;;54;9
;;;;;;54;9
;;;;;;54;9
;;;;;;54;9
;;;;;;54;9
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;55;21
;;;;;;56;8
;;;;;;56;8
;;;;;;56;8
;;;;;;56;8
;;;;;;57;15
;;;;;;57;15
;;;;;;57;15
;;;;;;57;15
;;;;;;57;15
;;;;;;57;15
;;;;;;57;15
;;;;;;57;15
;;;;;;58;12
;;;;;;58;12
;;;;;;58;12
;;;;;;58;12
;;;;;;58;12
;;;;;;58;12
;;;;;;58;12
;;;;;;59;10
;;;;;;59;10
;;;;;;59;10
;;;;;;59;10
;;;;;;59;10
;;;;;;60;13
;;;;;;60;13
;;;;;;60;13
;;;;;;60;13
;;;;;;60;13
;;;;;;60;13
;;;;;;60;13
;;;;;;61;11
;;;;;;61;11
;;;;;;61;11
;;;;;;61;11
;;;;;;61;11
;;;;;;61;11
;;;;;;61;11
;;;;;;62;13
;;;;;;62;13
;;;;;;62;13
;;;;;;62;13
;;;;;;62;13
;;;;;;62;13
;;;;;;62;13
;;;;;;62;13
;;;;;;63;14
;;;;;;63;14
;;;;;;63;14
;;;;;;63;14
;;;;;;63;14
;;;;;;63;14
;;;;;;63;14
;;;;;;64;16
;;;;;;64;16
;;;;;;64;16
;;;;;;64;16
;;;;;;64;16
;;;;;;64;16
;;;;;;64;16
;;;;;;64;16
;;;;;;65;7
;;;;;;65;7
;;;;;;65;7
;;;;;;65;7
;;;;;;66;12
;;;;;;66;12
;;;;;;66;12
;;;;;;66;12
;;;;;;67;7
;;;;;;67;7
;;;;;;67;7
;;;;;;68;7
;;;;;;68;7
;;;;;;68;7
;;;;;;69;13
;;;;;;69;13
;;;;;;69;13
;;;;;;69;13
;;;;;;69;13
;;;;;;69;13
;;;;;;69;13
;;;;;;70;17
;;;;;;70;17
;;;;;;70;17
;;;;;;70;17
;;;;;;70;17
;;;;;;70;17
;;;;;;70;17
;;;;;;70;17
;;;;;;70;17
;;;;;;71;14
;;;;;;71;14
;;;;;;71;14
;;;;;;71;14
;;;;;;71;14
;;;;;;71;14
;;;;;;71;14
;;;;;;71;14
;;;;;;72;11
;;;;;;72;11
;;;;;;72;11
;;;;;;72;11
;;;;;;73;13
;;;;;;73;13
;;;;;;73;13
;;;;;;74;10
;;;;;;74;10
;;;;;;74;10
;;;;;;75;11
;;;;;;75;11
;;;;;;75;11
;;;;;;75;11
;;;;;;76;8
;;;;;;76;8
;;;;;;76;8
;;;;;;76;8
;;;;;;76;8
;;;;;;77;10
;;;;;;77;10
;;;;;;77;10
;;;;;;77;10
;;;;;;77;10
;;;;;;78;10
;;;;;;79;6
;;;;;;80;11
;;;;;;80;11
;;;;;;80;11
;;;;;;80;11
;;;;;;80;11
