Id,Label,Interval,Modularity Class,Component ID,Grado con pesos,Grado,giantcomponent
1.0,investigation,,3,0,16.9025313556,23,0
2.0,recent,,0,0,7.61600216478,11,0
3.0,primary,,0,0,10.6509386972,16,0
4.0,election,,0,0,61.943268612,41,0
5.0,produce,,4,0,3.07118159533,5,0
6.0,evidence,,4,0,18.3238771334,15,0
9.0,place,,25,0,0.242195278406,1,0
10.0,jury,,3,0,31.4183323085,19,0
13.0,charge,,3,0,9.87777370214,7,0
14.0,deserve,,5,0,1.5104907155,6,0
15.0,praise,,13,0,2.14514744282,3,0
16.0,thank,,14,0,5.04415547848,5,0
17.0,manner,,9,0,5.38768315315,3,0
19.0,conduct,,20,0,9.0764015317,19,0
20.0,term,,1,0,15.9108015448,21,0
21.0,investigate,,2,0,13.3668914735,15,0
22.0,report,,0,0,30.0436130539,26,0
23.0,possible,,3,0,3.70382794738,5,0
24.0,win,,13,0,27.5419170558,19,0
25.0,relative,,13,0,6.29080966115,8,0
27.0,such,,0,0,1.83248246461,4,0
28.0,receive,,3,0,28.1653777957,21,0
29.0,consider,,0,0,5.22134622186,9,0
30.0,widespread,,4,0,9.07001075149,11,0
31.0,interest,,4,0,2.73236525059,3,0
32.0,number,,0,0,7.76465959102,6,0
33.0,voter,,0,0,39.3848022223,29,0
34.0,size,,16,0,6.45378440619,7,0
35.0,city,,3,0,20.3002767563,11,0
37.0,find,,3,0,1.67008361593,3,0
38.0,many,,17,0,3.7257296741,3,0
39.0,registration,,2,0,2.81808135659,4,0
40.0,law,,3,0,13.7550251037,21,0
42.0,inadequate,,8,0,2.72479901463,8,0
44.0,recommend,,3,0,17.3393621668,18,0
45.0,legislator,,0,0,12.6692578346,25,0
46.0,act,,25,0,5.90452073514,8,0
47.0,study,,17,0,4.51355859637,7,0
48.0,revise,,17,0,1.36593872309,3,0
49.0,end,,10,0,2.1239413321,3,0
50.0,modernize,,2,0,8.85015118122,7,0
51.0,improve,,10,0,7.98203992844,11,0
52.0,grand,,17,0,7.57505253702,7,0
53.0,comment,,3,0,12.955347985,9,0
