Source,Target,Type,Id,Label,Weight,edgeid
1.0,4.0,Undirected,13557,,0.731965,0
1.0,57.0,Undirected,13558,,0.083772,1
1.0,64.0,Undirected,13559,,0.879537,2
1.0,75.0,Undirected,13560,,0.083772,3
1.0,100.0,Undirected,13561,,0.227096,4
1.0,110.0,Undirected,13562,,0.425129,5
1.0,142.0,Undirected,13563,,0.425129,6
1.0,186.0,Undirected,13564,,0.425129,7
1.0,188.0,Undirected,13565,,1.438856,8
1.0,222.0,Undirected,13566,,0.704775,9
1.0,244.0,Undirected,13567,,0.493875,10
1.0,267.0,Undirected,13568,,0.227096,11
1.0,316.0,Undirected,13569,,1.438856,12
1.0,365.0,Undirected,13570,,0.083772,13
1.0,375.0,Undirected,13571,,1.438856,14
1.0,398.0,Undirected,13572,,0.425129,15
1.0,482.0,Undirected,13573,,0.083772,16
1.0,781.0,Undirected,13574,,0.860778,17
1.0,876.0,Undirected,13575,,0.425129,18
1.0,918.0,Undirected,13576,,1.438856,19
1.0,997.0,Undirected,13577,,1.171211,20
1.0,1802.0,Undirected,13578,,2.964912,21
1.0,1887.0,Undirected,13579,,0.425129,22
2.0,4.0,Undirected,13580,,0.061807,23
2.0,29.0,Undirected,13581,,0.241305,24
2.0,64.0,Undirected,13582,,1.010207,25
2.0,74.0,Undirected,13583,,0.241305,26
2.0,179.0,Undirected,13584,,0.991209,27
2.0,266.0,Undirected,13585,,0.489525,28
2.0,300.0,Undirected,13586,,2.134812,29
2.0,1015.0,Undirected,13587,,0.061807,30
2.0,1404.0,Undirected,13588,,0.080406,31
2.0,1422.0,Undirected,13589,,0.562482,32
2.0,1485.0,Undirected,13590,,1.741137,33
3.0,29.0,Undirected,13591,,0.927458,34
3.0,57.0,Undirected,13592,,0.947098,35
3.0,77.0,Undirected,13593,,0.020473,36
3.0,78.0,Undirected,13594,,0.020473,37
3.0,82.0,Undirected,13595,,0.947098,38
3.0,83.0,Undirected,13596,,2.535446,39
3.0,111.0,Undirected,13597,,0.101833,40
3.0,130.0,Undirected,13598,,1.074933,41
3.0,160.0,Undirected,13599,,0.291895,42
3.0,170.0,Undirected,13600,,0.020473,43
3.0,321.0,Undirected,13601,,0.020473,44
3.0,449.0,Undirected,13602,,0.389769,45
3.0,552.0,Undirected,13603,,3.292096,46
3.0,907.0,Undirected,13604,,0.020473,47
3.0,1772.0,Undirected,13605,,0.020473,48
3.0,2028.0,Undirected,13606,,0.020473,49
4.0,20.0,Undirected,13607,,0.063866,50
4.0,21.0,Undirected,13608,,0.641125,51
4.0,22.0,Undirected,13609,,2.034698,52
4.0,33.0,Undirected,13610,,2.134666,53
4.0,45.0,Undirected,13611,,0.641125,54
4.0,57.0,Undirected,13612,,3.687926,55
4.0,66.0,Undirected,13613,,1.381487,56
4.0,75.0,Undirected,13614,,1.090968,57
4.0,91.0,Undirected,13615,,1.072228,58
4.0,100.0,Undirected,13616,,4.81115,59
4.0,109.0,Undirected,13617,,1.685763,60
4.0,116.0,Undirected,13618,,0.497778,61
4.0,139.0,Undirected,13619,,1.090968,62
4.0,150.0,Undirected,13620,,0.641125,63
4.0,169.0,Undirected,13621,,0.761221,64
4.0,212.0,Undirected,13622,,0.641125,65
4.0,219.0,Undirected,13623,,1.57076,66
4.0,242.0,Undirected,13624,,7.227734,67
4.0,250.0,Undirected,13625,,0.528483,68
4.0,267.0,Undirected,13626,,8.078032,69
4.0,312.0,Undirected,13627,,2.922257,70
4.0,315.0,Undirected,13628,,0.731965,71
4.0,316.0,Undirected,13629,,2.13278,72
4.0,331.0,Undirected,13630,,1.94284,73
4.0,389.0,Undirected,13631,,2.922257,74
4.0,398.0,Undirected,13632,,0.528483,75
4.0,410.0,Undirected,13633,,0.641125,76
4.0,417.0,Undirected,13634,,0.528483,77
4.0,481.0,Undirected,13635,,0.641125,78
4.0,499.0,Undirected,13636,,1.427056,79
4.0,581.0,Undirected,13637,,0.243466,80
4.0,609.0,Undirected,13638,,1.94284,81
4.0,659.0,Undirected,13639,,0.641125,82
4.0,1360.0,Undirected,13640,,0.641125,83
4.0,1374.0,Undirected,13641,,0.641125,84
4.0,1427.0,Undirected,13642,,0.641125,85
4.0,1445.0,Undirected,13643,,0.528483,86
4.0,1485.0,Undirected,13644,,0.528483,87
4.0,1701.0,Undirected,13645,,0.641125,88
5.0,136.0,Undirected,13646,,0.528483,89
5.0,360.0,Undirected,13647,,0.528483,90
5.0,735.0,Undirected,13648,,0.641125,91
5.0,1182.0,Undirected,13649,,0.731965,92
5.0,2872.0,Undirected,13650,,0.641125,93
6.0,20.0,Undirected,13651,,0.063866,94
6.0,64.0,Undirected,13652,,2.21656,95
6.0,66.0,Undirected,13653,,1.381487,96
6.0,76.0,Undirected,13654,,0.243466,97
6.0,128.0,Undirected,13655,,1.381487,98
6.0,137.0,Undirected,13656,,0.063866,99
6.0,219.0,Undirected,13657,,1.57076,100
6.0,237.0,Undirected,13658,,5.408576,101
6.0,266.0,Undirected,13659,,0.061807,102
6.0,452.0,Undirected,13660,,0.528483,103
6.0,558.0,Undirected,13661,,0.528483,104
6.0,888.0,Undirected,13662,,1.57076,105
6.0,1057.0,Undirected,13663,,0.641125,106
6.0,1099.0,Undirected,13664,,2.134666,107
6.0,1203.0,Undirected,13665,,0.528483,108
9.0,696.0,Undirected,13666,,0.242195,109
10.0,13.0,Undirected,13667,,1.598036,110
10.0,100.0,Undirected,13668,,1.410375,111
10.0,120.0,Undirected,13669,,1.330782,112
10.0,137.0,Undirected,13670,,1.410375,113
10.0,160.0,Undirected,13671,,0.291895,114
10.0,171.0,Undirected,13672,,1.330782,115
10.0,188.0,Undirected,13673,,2.110497,116
10.0,219.0,Undirected,13674,,2.535446,117
10.0,331.0,Undirected,13675,,0.291895,118
10.0,412.0,Undirected,13676,,0.020473,119
10.0,771.0,Undirected,13677,,3.658059,120
10.0,772.0,Undirected,13678,,0.947098,121
10.0,774.0,Undirected,13679,,6.248326,122
10.0,777.0,Undirected,13680,,0.947098,123
10.0,787.0,Undirected,13681,,0.020473,124
10.0,798.0,Undirected,13682,,0.947098,125
10.0,848.0,Undirected,13683,,1.330782,126
10.0,1000.0,Undirected,13684,,3.658059,127
10.0,2265.0,Undirected,13685,,1.330782,128
13.0,104.0,Undirected,13686,,4.823849,129
13.0,322.0,Undirected,13687,,1.010207,130
13.0,413.0,Undirected,13688,,0.599507,131
13.0,680.0,Undirected,13689,,0.139313,132
13.0,1521.0,Undirected,13690,,0.108825,133
13.0,3510.0,Undirected,13691,,1.598036,134
14.0,19.0,Undirected,13692,,0.098638,135
14.0,114.0,Undirected,13693,,0.065848,136
14.0,145.0,Undirected,13694,,0.065848,137
14.0,260.0,Undirected,13695,,0.065848,138
14.0,3375.0,Undirected,13696,,0.065848,139
14.0,3751.0,Undirected,13697,,1.14846,140
15.0,796.0,Undirected,13698,,1.234522,141
15.0,2500.0,Undirected,13699,,0.455313,142
15.0,2538.0,Undirected,13700,,0.455313,143
16.0,192.0,Undirected,13701,,1.438856,144
16.0,408.0,Undirected,13702,,0.237059,145
16.0,431.0,Undirected,13703,,0.384695,146
16.0,479.0,Undirected,13704,,2.110497,147
16.0,500.0,Undirected,13705,,0.873048,148
17.0,344.0,Undirected,13706,,2.936741,149
17.0,394.0,Undirected,13707,,0.560544,150
17.0,425.0,Undirected,13708,,1.890397,151
19.0,81.0,Undirected,13709,,0.176663,152
19.0,127.0,Undirected,13710,,2.02694,153
19.0,274.0,Undirected,13711,,0.991209,154
19.0,449.0,Undirected,13712,,0.176663,155
19.0,852.0,Undirected,13713,,1.564003,156
19.0,1015.0,Undirected,13714,,1.090968,157
19.0,2204.0,Undirected,13715,,0.098638,158
19.0,2206.0,Undirected,13716,,0.098638,159
19.0,2253.0,Undirected,13717,,0.098638,160
19.0,3636.0,Undirected,13718,,0.098638,161
19.0,3662.0,Undirected,13719,,0.098638,162
19.0,3675.0,Undirected,13720,,0.098638,163
